Images observed,3D Points observed,Images observed,3D Points observed,Images observed,3D Points observed
2,992573,2,992573,2,992573
3,365345,3,365345,3,365345
4,183248,4,183248,4,183248
5,104764,5,104764,5,104764
6,62886,9,24352,6,62886
7,39953,11,11262,7,39953
8,29002,12,6960,8,29002
9,20452,13,4975,9,20452
10,16637,14,4161,10,16637
11,11262,15,3851,11,11262
12,6960,16,3329,12,6960
13,4975,17,2384,13,4975
14,4161,18,1652,14,4161
15,3851,19,945,15,3851
16,3329,20,555,16,3329
17,2384,21,354,17,2384
18,1652,22,281,18,1652
19,945,23,153,19,945
20,555,24,76,20,555
21,354,25,32,21,354
22,281,26,7,22,281
23,153,27,2,23,153
24,76,,,24,76
25,32,,,25,32
26,7,,,26,7
27,2,,,27,2
