NO,GCP,Data,For Initial Step,GCP Name,Error X[m],Error Y[m],Error Z[m],Projection Error [pixel],Verified/Marked,GCP Name,Error X[m],Error Y[m],Error Z[m],Projection Error [pixel],Verified/Marked
,,,,Stkd9_10L49,-0.0046056904,0.0056671443,0.0028630296,0.5077245212,"('5', '5')",Stkd9_10L49,-0.0046056904,0.0056671443,0.0028630296,0.5077245212,"('5', '5')"
,,,,Stkd9_10L50,0.0132493104,0.0105441316,0.0092476413,0.4538275063,"('6', '6')",Stkd9_10L50,0.0132493104,0.0105441316,0.0092476413,0.4538275063,"('6', '6')"
,,,,Stkd9_10L52,-0.0122614095,-0.0104531654,-0.0023113062,0.5157310174,"('7', '7')",Stkd9_10L52,-0.0122614095,-0.0104531654,-0.0023113062,0.5157310174,"('7', '7')"
,,,,Stkd9_10L53,0.0035007707,0.0001458644,-0.0401827809,0.3989203104,"('4', '4')",Stkd9_10L53,0.0035007707,0.0001458644,-0.0401827809,0.3989203104,"('4', '4')"
,,,,Stkd9_10L56,0.0037460854,-0.0032757073,0.0238075472,0.2639095115,"('3', '3')",Stkd9_10L56,0.0037460854,-0.0032757073,0.0238075472,0.2639095115,"('3', '3')"
,,,,Stkd9_10L57,0.0013179985,-0.0047342292,-0.0051585001,0.3646723126,"('4', '4')",Stkd9_10L57,0.0013179985,-0.0047342292,-0.0051585001,0.3646723126,"('4', '4')"
,,,,Stkd9_10L58,0.0071595048,0.0053067983,0.0001929043,0.3225060909,"('4', '4')",Stkd9_10L58,0.0071595048,0.0053067983,0.0001929043,0.3225060909,"('4', '4')"
,,,,Stkd9_10L59,0.0096229761,0.0070783596,-0.0042134066,0.3857397854,"('4', '4')",Stkd9_10L59,0.0096229761,0.0070783596,-0.0042134066,0.3857397854,"('4', '4')"
,,,,Stkd9_10R49,0.0066092546,-0.0145035968,-0.0025991101,0.4998724882,"('8', '8')",Stkd9_10R49,0.0066092546,-0.0145035968,-0.0025991101,0.4998724882,"('8', '8')"
,,,,Stkd9_10R50,-0.0216281863,0.0011864108,-0.0004555601,0.3606532032,"('5', '5')",Stkd9_10R50,-0.0216281863,0.0011864108,-0.0004555601,0.3606532032,"('5', '5')"
,,,,Stkd9_10R51,0.0183034133,0.0079747978,0.0029448456,0.5293644414,"('6', '6')",Stkd9_10R51,0.0183034133,0.0079747978,0.0029448456,0.5293644414,"('6', '6')"
,,,,Stkd9_10R53,-0.001587353,0.0097153429,-0.0040070286,0.2264289741,"('3', '3')",Stkd9_10R53,-0.001587353,0.0097153429,-0.0040070286,0.2264289741,"('3', '3')"
,,,,Stkd9_10R54,0.0053785836,-0.0005259194,-0.0077958746,0.3355027488,"('4', '4')",Stkd9_10R54,0.0053785836,-0.0005259194,-0.0077958746,0.3355027488,"('4', '4')"
,,,,Stkd9_10R55,-0.0081520295,-0.0016958247,0.0050996561,0.1924795276,"('3', '3')",Stkd9_10R55,-0.0081520295,-0.0016958247,0.0050996561,0.1924795276,"('3', '3')"
,,,,Stkd9_10R58,-0.021152835,-0.0087169417,0.0180291328,0.3673171623,"('4', '4')",Stkd9_10R58,-0.021152835,-0.0087169417,0.0180291328,0.3673171623,"('4', '4')"
,,,,Mean[m],-0.0000333071,0.0002475643,-0.0003025874,,,Stkd9_10R60,-0.021152835,-0.0087169417,0.0180291328,0.3673171623,"('4', '4')"
,,,,Sigma[m],0.0112865421,0.00735735,0.0135820052,,,Stkd9_10R61,-0.021152835,-0.0087169417,0.0180291328,0.3673171623,"('4', '4')"
,,,,RMS Error[m],0.0112865912,0.0073615139,0.0135853753,,,Stkd9_10R61,-0.021152835,-0.0087169417,0.0180291328,0.3673171623,"('4', '4')"
,,,,Inaccurate Checkpoints below,,,,,,Mean[m],-0.0000333071,0.0002475643,-0.0003025874,,
,,,,,,,,,,Sigma[m],0.0112865421,0.00735735,0.0135820052,,
,,,,,,,,,,RMS Error[m],0.0112865912,0.0073615139,0.0135853753,,
,,,,,,,,,,Inaccurate Checkpoints below,,,,,
NO,GCP,Data,For Initial Step,Check Point Name,Error X[m],Error Y[m],Error Z[m],Projection Error [pixel],Verified/Marked,Check Point Name,Error X[m],Error Y[m],Error Z[m],Projection Error [pixel],Verified/Marked
,,,,Stkd9_10L54,-0.0728246735,0.2553949851,0.2018165212,0.3269422572,"('4', '4')",Stkd9_10L54,-0.0728246735,0.2553949851,0.2018165212,0.3269422572,"('4', '4')"
,,,,Stkd9_10R57,-0.7368088323,-0.0914770372,0.3066136102,0.5392976337,"('4', '4')",Stkd9_10R57,-0.7368088323,-0.0914770372,0.3066136102,0.5392976337,"('4', '4')"
,,,,Mean[m],-0.4048167529,0.0819589739,0.2542150657,,,Mean[m],-0.4048167529,0.0819589739,0.2542150657,,
,,,,Sigma[m],0.3319920794,0.1734360111,0.0523985445,,,Sigma[m],0.3319920794,0.1734360111,0.0523985445,,
,,,,RMS Error[m],0.5235411581,0.1918262844,0.2595590628,,,RMS Error[m],0.5235411581,0.1918262844,0.2595590628,,
